ID,Time[s],1:SPI: MISO data
0,5.34394,0F
1,5.35885,0F
2,5.35889,0F
3,5.35898,0F
4,5.35902,0F
5,5.35912,0F
6,5.35916,0F
7,5.35925,0F
8,5.35929,0F
9,5.35939,0F
10,5.35943,0F
11,5.35952,0F
12,5.35957,0F
13,5.35966,0F
14,5.3597,0F
15,5.35979,0F
16,5.35984,0F
17,5.35993,0F
18,5.35997,0F
19,5.36007,0F
20,5.36011,0F
21,5.3602,0F
22,5.36024,0F
23,5.36034,0F
24,5.36038,0F
25,5.36047,0F
26,5.36051,0F
27,5.36061,0F
28,5.36065,0F
29,5.36074,0F
30,5.36078,0F
31,5.36088,0F
32,5.36092,0F
33,5.36101,0F
34,5.36105,0F
35,5.36115,0F
36,5.36119,0F
37,5.36128,0F
38,5.36132,0F
39,5.36142,0F
40,5.36146,0F
41,5.36155,0F
42,5.36159,0F
43,5.36169,0F
44,5.36173,0F
45,5.36182,0F
46,5.36187,0F
47,5.36196,0F
48,5.362,0F
49,5.36209,0F
50,5.36214,0F
51,5.36223,0F
52,5.36227,0F
53,5.36237,0F
54,5.36241,0F
55,5.3625,0F
56,5.36254,0F
57,5.36264,0F
58,5.36268,0F
59,5.36277,0F
60,5.36281,0F
61,5.36291,0F
62,5.36295,0F
63,5.36304,0F
64,5.36308,0F
65,5.36318,0F
66,5.36322,0F
67,5.36331,0F
68,5.36335,0F
69,5.36345,0F
70,5.36349,0F
71,5.36358,0F
72,5.36362,0F
73,5.36372,0F
74,5.36376,0F
75,5.36385,0F
76,5.36389,0F
77,5.36399,0F
78,5.36403,0F
79,5.36412,0F
80,5.36417,0F
81,5.36426,0F
82,5.3643,0F
83,5.36439,0F
84,5.36444,0F
85,5.36453,0F
86,5.36457,0F
87,5.36467,0F
88,5.36471,0F
89,5.3648,0F
90,5.36484,0F
91,5.36494,0F
92,5.36498,0F
93,5.36507,0F
94,5.36511,0F
95,5.36521,0F
96,5.36525,0F
97,5.36534,0F
98,5.36539,0F
99,5.36548,0F
100,5.36556,00
101,5.3656,19
102,5.36575,0F
103,18.8494,0F
104,18.8495,0F
105,18.8496,0F
106,18.8496,0F
107,18.8497,0F
108,18.8497,0F
109,18.8498,0F
110,18.8498,0F
111,18.8499,0F
112,18.8499,0F
113,18.85,0F
114,18.85,0F
115,18.8501,0F
116,18.8501,0F
117,18.8502,0F
118,18.8503,0F
119,18.8503,0F
120,18.8504,0F
121,18.8504,0F
122,18.8505,0F
123,18.8505,0F
124,18.8571,0F
125,33.8504,0F
126,33.8505,0F
127,33.8506,0F
128,33.8506,0F
129,33.8507,0F
130,33.8507,0F
131,33.8508,0F
132,33.8508,0F
133,33.8509,0F
134,33.8509,0F
135,33.851,0F
136,33.851,0F
137,33.8511,0F
138,33.8511,0F
139,33.8512,0F
140,33.8512,0F
141,33.8513,0F
142,33.8513,0F
143,33.8514,0F
144,33.8514,0F
145,33.8515,0F
146,33.858,0F
